Fecha Transacción,Recorrido,Rendimiento_kmpl,TON C02,num_vehículos
2021-03-25,34037.023255813954,3665.1069421449615,10.771658459999998,43
2021-03-26,68689.93181818182,3610.2377691267493,6.586621019999998,42
2021-03-27,29082.53125,3781.1037593816222,4.113012689999999,30
2021-03-28,472.0,2604.609486273904,2.590857359999999,18
2021-03-29,266.6578947368421,2333.8046636672434,7.912045889999998,36
2021-03-30,850.675,2755.284430965962,8.823576599999997,38
2021-03-31,5883.891891891892,2027.380089103186,8.142040889999999,35
2021-04-01,322.0,2461.1598509259456,3.4512323399999993,23
2021-04-02,258.125,1834.060962277146,3.4013597399999993,16
2021-04-03,401.2173913043478,2339.1763554459867,5.7009707999999994,22
2021-04-04,467.6666666666667,4559.749930972811,4.243649849999998,21
2021-04-05,356.8205128205128,2484.536725048347,10.125299879999998,39
2021-04-06,922.1333333333333,3116.8737531088777,10.521738629999998,41
